1,Bad Wire,"For 6 hours I thought it was the way I was hooking something up ,only to find out it was a bad wire...I had to go and buy another wire the next day...I had already disposed of the package it came in...This might be my lesson with wires online..."
1,Palm has already ripped on the right hand.,"I used these for work and about after a month, the padding on the right hand pad has already ripped. Nice and light weight but a bit on the cheap side."
1,"Predictable, boring, not worth the time and effort","I was very disappointed in this book. After the first fivechapters, I couldn't go any further. Rather than trash what Ihad paid good money for, I attempted to give this book away to one of my friends who might would have a different opinion. Nodice--couldn't even give it away. Sorry to say but I could haveread something of similar nature, or better, for free in mylocal newspaper. I apologize for this poor review because theauthor's husband is one of my favorite writers."
1,Book is horrible,This book is a rehash of the previous version. It is full of quick tips without much substance. There are many books out there now that are much better. It seems that Rita relies on her inside information with PMI as a selling tool. Will not help you to be a project manager and is more like a boot camp full of things like study this cause it is on the test. lacks comprehension for understanding PMP principles. As a PMP I find these quick books not worthwhille
1,If you were on the fence,"If you haven't really read enough about the Evolution vs Creationism conflict in America to have a strong opinion, or if you're sitting on the fence then you must see this film. The nonsensical propaganda that Stein spouts will make you realize how phony creationism is. On the other hand if Stein convinces you he speaks the truth, well then don't worry you have bigger problems in life, like tying your shoes and counting to numbers above 10."
1,NON/ANTI/PSEUDO-Catholic Digest,"If you are looking for Catholic news, culture, spirituality, history, apologetics, liturgical updates, or DOCTRINE, THIS is certainly NOT the magazine for you.The articles featured in Cath.Dig. are HETERODOX (not orthodox), and stray -- in tendency or in explicit terms -- from the Magisterium of the Church.Anti-Christian Feminism, Homosexual Activism, and general Modernist Revisionism and a rebellious ""anti-Dogmalism"" pervade the pages of ""Catholic"" Digest, though often (but not always) with veiled language.For Catholics trying to get their faith straight, or Protestants and non-Catholics trying to find out more about what the Christian Faith is all about, STAY AWAY from this publication!!As a cleric and a pastor of the Flock of God, I strongly urge you NOT to purchase this magazine.The Rev. Enzo G. Selvaggi"
1,Not what I ordered,"I ordered the new version of Star Trek with Chris Pine. Unfortunately, I received a 3 discs of old Star Trek movies that im not in to. The covers were virtually identical. So be careful if you order this."
1,bigbenoutlet@hotmail.com,"The JVC DRMV1S arrived defective. The remote was alsodefective. I sent it to JVC to be repaired, whichsince that time, has been repaired by JVC, and working."
1,Wrong part,"Like another customer, I also received the male portion of the lighter socket instead of the product shown. Looks well made, but not what I was looking for. Living overseas, not worth my time to try to send it back.. just going to go with another maker with the hope they can send the correct parts."
1,Terrible!,"I am a reading tutor for grades 1-3, and I thought my students may enjoy trying some reading games - I gave them a try first and they were so poorly organized, I won't even let my students try. The ""phonics"" are never said by the computer for the student - it shows a cat for short a, but doesn't tell you the specific sound that short a makes - not acceptable! There is also no way to pick a specific phonic or game for a student to work on - you just load the cd and have to go through the games, 1 by 1.... This is going back to the store! If I could give it ZERO stars, I would..."
1,Doesn't Work,A waste of time and not worth the frustration. Not sturdy or adjustable enough to hold the crappy projector it came with. Waste of money.
1,Agree that is awful,"This game is incomprehensible. It has no help section so I can't run it. I have gotten far enough to see the uniforms are backwards, but I don't how to run it or what to do next. Total ripoff. Not worth a penny. I am going to throw it away and delete it from computer.It gets one star because there are no zero stars."
1,Worthless,"I have purchased this item twice, replacing the first because I thought it was defective. On both occasions, I would get the short low battery chirp a few weeks after purchase.I called customer service and the gentleman informed me that I should use Eveready batteries exclusively! He made this sound like it was perfectly normal?! Unacceptable! Can't use Duracell? Forget about trying to use a rechargable battery to save money.I've sent the second unit back to Amazon. Nuff said."
1,This Jane Eyre--- errs.,"This is a fabulously lush orchestrated and sung piece of bubblegum. I think Charlotte Bronte, the cast, and the audience deserve a much more lyrical piece. This hodge-podge of contemporary styles has been packaged well--- however it is not cohesive, and therefore it is a HUGE disappointment. Great voices, great orchestrations, great musical direction--- really poor score. I can understand WHY it's having trouble--- and after years of finetuning, it is still fatally flawed and unlike Rochester, this musical can not be redeemed even by such a fabulous Jane Eyre. This Jane Eyre--- errs, and I am left with why?"
1,Unreliable Drivers,"I won't go into details on my specific experiences, but I'll chime in with those that have complained about the software. It's bloated, containing about 5 different programs that all pretty much get you to the same place. It's unhealthy in that I often find myself having to kill HP processes while I'm shutting down and they take entirely too long to start up. Worst of all it's unreliable. I want to print when I want to print. I don't want to have to reboot or futz around with configurations to get the printer to stop giving me errors.The hardware is solid which is the only reason it gets more than one star when I'm going to throw it away while it still works just to get rid of my software problems. It's a real shame.Oh yea, and the replacement will probably *not* be an HP."
1,Adam Sandler dissapoints,"I gernerally like Adam Sandler movies but have grown wary of them,his character is someone he always tries to make the good guy who's successful but humble,always does the right thing,etc.Then there's this guy,the most irritating character he has,you've seen and heard him over the years.Not much(except the actors themselves) about this movie is good,I tried to watch it over the 24 hours it was rented for several times but lost interest,fell asleep,etc.It's a ""comedy"" but it's not that funny and the premise is ridiculous."
1,Ditto...,"As the other reviewers have pointed out, this is simply Budig's Aim True DVD with a different cover. Shameful trickery by Gaiam."
1,Don't waste your money,Too bad they don't have a zero rating. This article is highly overpriced. Aprox 700 words and no meat whatsoever.
1,katie,I saw Katie perform on PBS. I love how she sounds when she sings far away voice. The rest of her songs aren't so good due to the goofy lyrics and her childish voice. If she gets better material then more people would know about her.
1,I NEVER RECEIVED THIS!,I needed this to begin the school year as I teach in a new high school. To date I still have not received the product -
1,Poor PS/2 connection ports,"I've been having a terrible time with getting my PS/2 keyboard and mouse to stay plugged into the PS/2 ports on this switch. I've never had a problem pluging into any other PS/2 ports but my keyboard and mouse keep slipping out of the ports on this KVM switch and as a result I keep loosing all connectivity.I've even tried plugging an adapter into the ports to see if that would help, but nothing seems to stay into the ports without slipping out. I was looking to see if there was some way to reduce the size of the port opening but it does not look feasible. I even tried strapping my devices in place with rubber bands but the ports are just too slack.I've given up on this product."
1,Less than one star,Tripe like this should be banned. All the fundie movement does is make all problems the fault of the woman. God forbid a MAN be held responsible for their behavior.
